PIB Estadual (valor adicionado a preços básicos) - agropecuária (preços de 2010)
Sigla;Código;Estado;1939;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1975;1980;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
MA;21;Maranhão;749313,68744608;437119,135912141;557695,002006357;461011,16394457;646895,93325641;672302,428295298;754150,589247165;914703,055694007;895962,309804528;963662,784654842;922288,177672523;1024057,78928584;1196226,29049075;1485428,27164225;1703675,83892073;1734855,21612176;2488278,32567911;2107221,80410191;2168118,48770551;2136764,0773685;2060837,41553758;2284728,40165938;2337307,14027332;2241836,17078203;2303419,42179389;3384978,60681652;4618946,08314409;3910435,30764996;5012547,20886697;3325164,34625615;4151059,25095523;5019630,93139681;3343230,87812256;2960665,31101964;1243961,82557042;1028790,10237381;1712097,64991184;1555569,05941232;2097831,43314241;1882506,89977856;1284671,16070769;1395148,1111173;1443758,33215451;1509902,96959429;3547216,73191178;4675372,55723076;4706859,40293846;4311469,99578338;3646727,23804575;3852661,48731772;5823161,64006057;4570957,71960381;4537927;4746946,84880388;4651601,82138913;5437561,04110986;5447178,97652603;4966697,61475101;3836793,14080016;4594684,75391115;4555288,1768035;4114217,49330483;6106930,63055983;6579053,35548799;7234182,95930816;
MG;31;Minas Gerais;4621930,06658397;7343095,81851379;8652317,90921879;8382778,17180033;8898452,90816898;8957752,73387021;9023069,47813103;10736666,0549725;10506998,3900005;10675255,301429;10682845,8275923;11481113,0662951;10502569,4083766;10648811,3400435;11823170,9326106;11589357,1431807;14736536,9442323;11051518,9279315;14443900,9175339;13831405,5422764;12356077,1019033;12673764,8749239;11979425,7253808;12419455,3239248;9624427,30434866;15905785,5958738;28826373,8124645;31919326,8201722;30693411,6663949;33177399,191896;33172019,2003072;36432002,89305;20971816,2080598;9091750,84280723;7912956,5138423;9474248,56761303;14205253,1202139;8884385,37659475;8676631,46121364;8382572,25216294;8893520,6210443;8713679,82130748;8354977,96795425;7183790,33197543;12744841,6587817;13637788,0662788;16952755,7852263;15331002,4404753;15974576,6894464;15730531,2781077;16741022,9313025;15798857,9551253;17085913;21967831,6645124;21858450,9869233;19144344,2234642;18874387,3697053;16759850,5659438;21071580,054388;17569091,6407818;16425169,894398;14834699,8953811;21100278,9592921;26461420,0586843;25921761,2219785;
MS;50;Mato Grosso do Sul;;;;;;;;;;;;;;;;;;;;;;;;;;3160919,52465713;8316822,08135819;6711810,51077996;8404809,36140599;7391466,39225212;6950248,43813906;6644889,77510384;5495283,51439624;2458143,68058184;2079864,84639167;2767598,06757752;3361424,1546918;2911835,72163018;2875963,70023925;2753241,52025296;2795485,19486974;3197288,57606033;3113524,19640916;3740120,43609299;7037216,9202115;9330978,54393278;7616174,71977791;5024255,30229765;4869442,51757695;5427464,52988535;6918957,75416827;6471361,87732171;7151612;7824348,36567923;8272513,86748896;8630289,63431323;8996205,44226941;9357402,57215706;10099994,4727825;9300838,36934546;10714475,2239172;9139463,05643784;13744288,3048495;15227019,3834315;14453060,966894;
MT;51;Mato Grosso;481720,105855546;456596,595267267;737964,518349248;713110,061458442;488431,154609514;513979,297714577;982346,105585249;1323003,67026242;1514880,49066397;1450378,50991105;1311915,13621129;1281559,5647933;1767520,79921042;1144605,30832992;1496637,4358087;2243267,14438084;2807412,37189463;1860950,76913095;2272633,20911034;2302532,88274714;1601263,17516617;1490444,28552297;1773598,47954123;1988952,77328525;2577252,49990925;1179321,72813999;2506037,64095851;2618633,27762519;4124688,87851851;3234984,63495617;4942061,39820714;4087849,40946174;1952114,96064866;2063041,29637771;825142,438709302;904450,476695599;1995770,3207585;1494514,70842344;1602468,33907604;1916250,1834745;1927029,02392322;2456189,53591598;3282926,17416508;2965548,19205691;7701390,8442869;11508942,9068254;14283742,3705416;12031665,9747645;5544471,28871525;8225151,18919537;11440916,2672909;10724964,4856161;8373223;12562005,950476;14908827,3450966;14641183,3808483;14075236,9434827;13251716,1310953;15912373,276824;13785993,4306216;15040709,1114014;15199131,5753483;24277071,5710464;37847908,3092764;37174103,7113549;
PA;15;Pará;518914,580516778;471860,181204215;475826,648826601;339533,456852393;449320,698603044;472685,885051095;492330,524343921;510566,183246543;543309,883997489;637933,241425364;694937,756938809;767383,744247109;706285,48261386;616307,687262413;855175,069393065;971670,269348817;797314,091267063;858532,299264666;932586,972698624;1063683,99642529;953106,218583349;1002291,35888265;1111258,46489947;1167121,8756553;1618836,72650551;2594748,72565223;5392467,49536389;7623732,89912962;10238645,8293022;11205965,989983;11343199,0839277;19616378,7439808;14487472,5308929;5526208,52477227;4071915,28439597;9657855,14269053;6888786,4550853;5109070,95687073;4390220,33450742;3891261,91778277;3961527,3662833;4183423,3283774;4139488,07718863;4413106,44504281;6584100,95357728;6713778,70466336;6538844,03676532;6647976,46473454;6862770,72738057;6629751,9056047;6255289,18270335;6440990,33178704;8076834;8282611,33774337;8704452,20769057;11561633,3059229;9911772,20054552;9944025,69260988;10891093,6573702;10245458,3851548;8765234,00863412;8396793,44858094;10412122,2391535;11511605,6792871;10341346,3691831;
PB;25;Paraíba;601310,673689925;875642,896297007;1101774,74873227;1151915,62303132;1413820,50736026;1258465,90974419;1279758,42069085;1053122,09254433;1223944,23536833;1420464,20713836;1459964,05086708;1439914,75009282;1275393,06389152;1813763,09117607;2487906,07310488;2532876,37117761;3549284,13681395;2951676,98009788;3038547,74468978;3096656,14018374;2062635,00322011;2535676,8882478;2261512,65530021;2100304,21914481;1236275,80855022;2116515,0933013;1997703,12547199;2768701,08152997;2882111,67172561;3105564,5134483;2804559,48575225;3942371,78564564;2550190,74343941;1943609,96935641;869075,821942439;797721,449058099;1364809,90383385;1488382,24067455;1415328,0943405;1130170,44611948;758418,521689656;931623,409931034;1084693,81426253;1067825,00937813;1436183,11825679;1719003,94384186;1530392,24825209;1550705,15547876;1619500,27702594;1374870,28220111;1513087,50351096;1623811,88468928;1384255;1652579,63876028;1318015,20058635;1468674,6919241;1341099,12291507;1309674,28931285;1377088,03100592;1319426,66611927;1325736,42168293;1233697,14212808;1489817,95287854;1511627,10572311;1450487,5091259;
PE;26;Pernambuco;1358114,91506083;1618221,03421116;1847254,18071034;1717831,93053332;2107544,09388112;2113829,45777345;1873078,33788539;2128129,21989516;2069288,10778059;2078829,34674938;2300122,69081109;2726828,69635574;2917982,75544099;2824421,61990052;3241318,33564334;3587577,45329636;4539390,56820729;4541074,05111068;4472412,28941984;4483314,38462449;3955557,90618642;4280363,24664065;3886544,18749437;4099246,46971742;2673899,46865584;3662040,91271254;4808283,51669947;6507543,68172836;6999414,37196921;6478068,20683566;5621270,91075985;5065792,85822682;5366826,28916597;4649860,19212908;2008442,82611624;1556018,87083981;2640313,20785558;2581582,08684316;2784672,87702934;2409678,68091581;2288294,52716364;1982068,37483029;2295139,50708353;2292283,8546551;3550001,75923549;3675213,39448552;3696419,44317026;4065721,88781147;4164233,17482572;3958449,94755419;4249606,71848792;4074866,73504752;3962413;3827206,31341414;3292359,30347682;3377341,5938778;3272806,49815226;3581130,14436403;3927318,48406824;3693774,6695778;3919717,5999913;4243024,86445017;4570974,73876881;4550857,33555638;4311869,83039538;
PI;22;Piauí;534928,868218142;470455,556731489;348338,349382535;335206,629919674;356864,179997717;321784,151216345;399211,938042125;347570,912413982;327622,646434046;398654,601902625;451989,429678734;493611,891713607;420281,413776645;552036,955441608;595323,228682169;747769,096607995;1108091,70974028;755555,896204779;980603,299440425;936166,949407497;804698,460768621;1009804,29623812;948745,363790903;840663,342228246;753040,96481724;1214255,67105731;1479493,86855286;1317102,0943713;1494223,89522636;1104026,88934569;1125165,45702159;1153409,01417451;1117367,20385413;1015761,57579329;384629,759028781;439916,165750927;716938,799158651;690973,608612587;636948,641773695;497096,226727363;407092,086709422;481498,349086357;516000,03374819;499776,671728045;808828,167278722;1449588,46818249;1486200,73107287;1313773,16828158;1148972,73123318;1003863,29348837;1717827,81445066;1714296,58169758;1179327;1788055,91941905;1704735,54504024;1411978,82721619;1862336,65616492;1875505,56533604;1185227,43929039;2320164,47946469;2599039,62498793;2120153,55176761;3007476,98297479;3705876,14569578;3937720,719547;
PR;41;Paraná;1486229,21667174;2439364,50096642;3009501,88146739;3310594,07123787;4470804,63670874;4105745,03054042;5429756,92070895;5900327,24945283;4762963,42317357;7645501,79656442;5004449,82289589;6662428,40941057;8442967,18406912;9836404,21187362;10881716,3511924;11041080,7898857;13524033,3064028;9849740,68760403;10167723,8571543;12658760,5228879;9781539,58529755;11988824,2626971;11808403,5258621;14676629,1671638;9833829,0699663;21859011,3164743;20603290,2186188;27479163,8608964;23360031,5632353;23141964,2523244;18756844,5495558;20860684,6389935;15081771,431336;4438213,81001169;4919045,71907915;6140278,39317251;9467755,77068848;5027253,39988142;7626919,52417826;8466464,01163545;8761016,11206868;8731534,44011627;8353834,18538119;8093538,38518744;16077387,1167655;20735367,2657636;18902291,3691635;14885604,9418734;13528018,5520043;16211118,6731089;19172426,5496628;15872169,4795746;17801330;19142565,9946837;19012699,5727887;23799490,3981457;21097515,3530892;20160747,0066863;21994377,3795415;21083218,7428798;21295474,3314616;19293072,3359885;29812539,2628206;29238503,1557123;23952751,2110574;
RJ;33;Rio de Janeiro;1442835,66290031;1865341,29977931;2089411,2210552;2354365,31910704;2585186,15717848;2291816,11819392;2523230,10824856;2655451,92631139;2479425,19434856;2677795,27272084;2740216,89457814;3082545,86529383;3502467,88967931;3581657,24719818;3897737,078478;3642767,40125019;3803123,1541079;4049217,11775338;4455359,26371793;4160801,24075668;3918086,08716198;3812062,98991464;3994953,13618878;4014874,75841921;1969181,98821192;2894698,7872527;3490649,54032432;3068364,74458442;3209825,00373485;3071142,60852293;3623798,64819966;4092616,31281772;2500535,00432244;2150010,2330819;626098,409871191;722105,565382746;1014579,33795925;1078536,22311063;980976,36800775;912554,685827441;914245,858481778;887177,114604979;934673,134366028;885904,928505093;1831991,35348116;1491697,54088922;1946329,04485455;1762369,72914534;1684862,10238489;1445514,89529898;1570200,46860508;1711330,1191607;1534564;1971280,23570177;2024277,18868088;1943143,46117607;2095977,7160172;2066742,80295958;1952051,28164841;1790481,93568216;1737309,39904363;1703176,99579387;1949599,95505282;2073075,33721182;1866106,01693664;
RN;24;Rio Grande do Norte;342757,415801773;574304,126081654;620997,097985518;681516,061025195;802438,666339606;835573,156706666;801491,175695188;571041,998686287;648418,989402734;795806,332134852;833394,687955018;835076,576643197;561625,987397097;1094906,90167808;1288193,91693553;1352961,65191175;1740828,92913323;1637105,78958005;1561579,51944993;1669286,50097196;1433568,51793051;1895021,30306604;1650103,58503936;1450114,6194702;648340,082008425;1323875,97469443;1373877,06888252;1371644,17734561;1466882,35493459;1700367,19060435;1945405,63158541;4116425,89088752;1080769,21269003;1324580,24063078;525138,195089702;342166,931527849;606033,63648409;504518,34636747;504859,491344103;394161,654920156;486309,645440136;277463,943722164;222604,380603267;192132,747400828;1050487,22985648;1422786,79020836;1389616,68326303;1251758,25313046;1348449,02544823;1125628,3007926;1182269,56001477;1356127,67313834;1148622;1230048,29799524;1113476,25375339;1181328,1320365;1136584,63259085;1123762,91302055;1183829,25671907;1322090,95811639;1520679,28253675;1513704,61617489;1588726,12644012;1488548,33918233;1302496,26184344;
RO;11;Rondônia;;;;;;;;;;;;;;;;;;;;;;;;;144970,453119896;342111,716845514;866115,00217469;1611559,8765719;3023704,39968356;2629637,65845071;2044272,98114232;2831534,94518864;1232767,00088269;1310681,29362557;561236,808929468;711889,502389873;735396,568000526;607784,614483355;622528,113936739;670125,328599421;661680,614269847;869074,425987448;850619,353561555;775229,53732681;1359319,40371584;2129113,24283769;1991168,05113046;1930688,73527628;1667800,23837213;1812175,57468504;2362115,4899458;2294885,12651924;2295537;2318003,72269217;2815255,13884848;2648958,24849772;2853000,00811256;2985545,77873797;3117723,19646347;3596111,2953645;3356517,12708678;3288515,4293284;3636687,01677645;5013240,40458312;4917962,11135235;
RR;14;Roraima;;;;;;;;;;;;;;;;;;;;;;;;;72485,2265599483;116848,015964841;135241,023968123;160357,308245147;360358,98107823;390247,862339135;370590,383925523;80452,2945285438;65806,4378041702;70640,1587890471;17784,8820229556;25014,5069391624;32904,0500494723;30927,9064295212;24752,718186249;22532,5374664721;16018,8826921308;32982,1580630543;43043,239062947;45842,8605640681;134849,655196745;158412,303413659;170515,249155725;142315,117835026;124317,873901434;157212,615141273;147926,372697008;134155,44922326;148648;162047,896307041;182911,796114742;305586,454508494;285119,342902295;354093,655606082;357728,563424316;372743,262020016;375273,732642035;403434,386535645;528191,536349976;584847,659238981;747270,114921987;
RS;43;Rio Grande do Sul;4108956,27021448;5281294,37581595;5240989,17548142;5687736,46042469;5775235,74604325;5273822,13376318;6016942,23868161;7760047,43457514;7509333,01093077;9291826,1461684;9811987,00900856;9170684,52886649;8691448,18205922;8961302,19634884;9642498,82496959;10438457,5429428;13195166,7939838;12312226,4023678;13478264,6950938;12793209,0465401;11961064,6422985;12576561,7080793;12371157,3016405;13842267,650494;12930559,0268885;18437894,1480191;22150619,2674478;24423937,0383711;32526804,9880066;31837842,8426838;32028643,6097605;32806825,8710621;19695254,0293283;7798497,68118968;8578042,93526888;9210947,22320125;12702192,1097181;10934454,8070896;10625260,2858452;9648646,84963226;10405899,1453792;10066901,9805605;9531588,30874429;11690707,4543651;17497507,8843934;23447681,7576944;19716790,9291606;11713891,4978003;14199690,1841675;16498368,7119083;18425388,8266084;16892877,6290034;17162698;17427518,7789231;13935519,1807531;22899573,1233856;21322311,6259735;21445746,4967849;23008820,3702956;20567935,2470955;20843203,0527191;20375662,0836193;19078044,6005802;35519222,5292415;19122711,1435516;
SC;42;Santa Catarina;1110410,04561554;2051126,29670513;2009134,26134978;1926744,19696402;1893110,90405255;1790966,98395299;2077777,18173215;2628438,37986812;2203618,58240598;3048754,09669754;3050309,10731522;2994935,76849386;3336123,28235335;3192135,60651885;3509965,66058982;3505510,13116173;3430971,54834761;3313350,47454595;3896765,51031659;3542397,19248849;3434823,33542516;3928472,21557223;3962437,58933144;4216599,65420402;4365221,42172132;6445914,77760686;9272095,98081558;11352611,6895826;14023365,8307546;11150880,1437199;12174300,3042545;19766877,9572268;10022104,3814988;3608241,64834214;4479728,86155989;4065653,08691488;6327587,75963898;4945377,94460411;4818174,26184352;4558725,46642356;4529871,90777365;4884772,07003029;5404462,09387542;5370897,57030408;9222807,95702205;9805852,45928071;9358611,1479363;8456198,94015761;7802903,00989789;8295827,44403265;9732607,28035593;9307406,31744336;8942402;8252994,07689937;7609189,73183473;9639034,48812317;9351113,76898217;8562589,43374226;9518734,32549615;8696708,01728413;8005884,91640007;8543018,20045865;10239106,8152268;11102575,3170755;9957607,82201812;
SE;28;Sergipe;234790,121299029;294783,856009301;325351,554753232;357330,59404735;307489,10239568;435578,901321238;452455,629401759;457656,191904633;405705,97730099;414828,363688817;504672,452282713;555407,14451997;627763,27730126;636353,106651819;645515,584957372;763837,310223936;1096762,77172995;902995,042865437;834278,738813242;862718,40302241;907875,488514111;1030111,30302758;902683,826848936;849622,411815275;595989,640604018;757705,175689536;1165362,60124066;1406914,02019608;1419872,55467887;1242647,25293752;1418100,51623109;1280721,65989731;1236212,76095015;1107322,00987288;527444,951255329;649316,809153103;706543,793507692;564434,372707378;562479,182671161;469688,468715685;503459,874601446;468572,907400048;413927,753783576;424986,388877977;1142113,86890801;1442265,29598255;1245580,49298991;1225504,07848851;1407085,79552478;1306133,03315546;1611935,07612984;1743330,18323719;1511775;1255067,08696293;1279865,13593111;1429933,11437999;1299653,29213893;1188161,53295987;1094433,11716105;1203237,4673279;831727,980200566;1144890,91897073;1363273,45470473;1306979,14685611;1188115,74360815;
SP;35;São Paulo;7474797,9320931;11869638,6443186;13778107,8793079;14849261,8418703;15913834,7611453;15670437,8059719;18428104,5681899;17283845,8761188;19025267,0370923;20689461,7638357;18306373,6635392;20570835,2086886;19394340,144124;18158184,6680746;19572505,9518332;21837635,6856185;23323491,2075558;21444587,9028019;20940694,8166071;23656569,2197743;21088562,5365999;20884928,9916536;19147439,6435949;21467793,048486;14609800,1088606;20421901,1819789;25126351,1313303;39059839,2452792;25774850,126287;32802747,9824425;32747777,9575801;35102760,2613724;34037233,3161949;14982345,0022102;15920191,7522026;15903898,9866325;20006438,4285849;16839922,3679411;13848660,6452654;16017029,4458957;18669160,5214082;15820881,9326969;13922531,5447806;22275991,9104775;26809476,6104355;26114816,7063554;22865494,8640112;22420557,3793939;26354042,1005811;26834551,7046072;20948818,2493778;25599122,0731758;22631449;21576039,2756834;20363353,4938919;21048660,9817538;20164562,2074864;18052265,5258563;22728496,183659;22343952,6595282;18515419,8493044;18583667,0654166;23425811,5582934;21886262,6070955;18226919,8850997;
TO;17;Tocantins;;;;;;;;;;;;;;;;;;;;;;;;;;;1223752,37666817;;;;;956079,972278453;603245,001482495;681108,459831706;346765,860957971;325608,701549134;440721,173956541;357613,428443809;283539,047400874;298025,577920296;347056,83120022;382070,094425323;315405,227590157;361776,259496694;1105927,51115773;1777218,00097738;1529988,91972169;1242343,7466089;974627,828503168;997636,19917058;1467590,04447834;1739331,53051935;1739792;1934147,18293947;2003088,79021948;2159486,73432662;2440644,82692715;2342335,2101927;2296113,30826055;2545125,81611561;2454977,54651442;2830080,79874842;4239209,55376142;6331975,45978261;5393474,90367573;
